Author,Editor,Title,Journal,Publication Date,Electronic Date,PubMedID,PMC ID,Branch
"Li LJ, Du R, Ouidir M, Lu R, Chen Z, Weir NL, Tsai MY, Albert PS, Zhang C",,Early Pregnancy Maternal Plasma Phospholipid Saturated Fatty Acids and Fetal Growth: Findings from a Multi-Racial/Ethnic Birth Cohort in US.,Nutrients,2023 Jul 25,2023 Jul 25,37571228,PMC10420908,"TDRP/BB, TDRP/REB"
"Luu YT, Kimmis BD, Cardones AR, Sargen MR, Yeung H",,Time spent outdoors and sun protective behaviors among sexual minority women.,J Am Acad Dermatol,2023 Nov,2023 Jul 23,37487832,PMC10592321,TDRP/CGB
"Sun K, Loria V, Aparicio A, Porras C, Vanegas JC, Zúñiga M, Morera M, Avila C, Abdelnour A, Gail MH, Pfeiffer R, Cohen JI, Burbelo PD, Abed MA, Viboud C, Hildesheim A, Herrero R, Prevots DR, RESPIRA Study Group",,Behavioral factors and SARS-CoV-2 transmission heterogeneity within a household cohort in Costa Rica.,Commun Med (Lond),2023 Jul 22,2023 Jul 22,37481623,PMC10363136,"TDRP/BB, TDRP/MEB, TDRP/IIB"
"Lou PJ, Jacky Lam WK, Hsu WL, Pfeiffer RM, Yu KJ, Chan CML, Lee VCT, Chen TC, Terng SD, Tsou YA, Leu YS, Liao LJ, Chang YL, Chien YC, Wang CP, Lin CY, Hua CH, Lee JC, Yang TL, Hsiao CH, Wu MS, Tsai MH, Cheng HC, Hildesheim A, Chen CJ, Chan KCA, Liu Z, GEV-NPC Study Group",,Performance and Operational Feasibility of Epstein-Barr Virus-Based Screening for Detection of Nasopharyngeal Carcinoma: Direct Comparison of Two Alternative Approaches.,J Clin Oncol,2023 Sep 10,2023 Jul 21,37478397,PMC10852390,"TDRP/IIB, TDRP/BB"
"Motter JD, Massie AB, Garonzik-Wang JM, Pfeiffer RM, Yu KJ, Segev DL, Engels EA",,Cancer Risk Following HLA-Incompatible Living Donor Kidney Transplantation.,Transplant Direct,2023 Aug,2023 Jul 21,37492080,PMC10365202,"TDRP/BB, TDRP/REB, TDRP/IIB"
"Lee MD, Patel SH, Mohan S, Akbari H, Bakas S, Nasrallah MP, Calabrese E, Rudie J, Villanueva-Meyer J, LaMontagne P, Marcus DS, Colen RR, Balana C, Choi YS, Badve C, Barnholtz-Sloan JS, Sloan AE, Booth TC, Palmer JD, Dicker AP, Flanders AE, Shi W, Griffith B, Poisson LM, Chakravarti A, Mahajan A, Chang S, Orringer D, Davatzikos C, Jain R, ReSPOND Consortium",,Association of partial T2-FLAIR mismatch sign and isocitrate dehydrogenase mutation in WHO grade 4 gliomas: results from the ReSPOND consortium.,Neuroradiology,2023 Sep,2023 Jul 19,37468750,PMC11058040,"OD/CGR, TDRP"
"Minas TZ, Lord BD, Zhang AL, Candia J, Dorsey TH, Baker FS, Tang W, Bailey-Whyte M, Smith CJ, Obadi OM, Ajao A, Jordan SV, Tettey Y, Biritwum RB, Adjei AA, Mensah JE, Hoover RN, Hsing AW, Liu J, Loffredo CA, Yates C, Cook MB, Ambs S",,Circulating trans fatty acids are associated with prostate cancer in Ghanaian and American men.,Nat Commun,2023 Jul 19,2023 Jul 19,37468456,PMC10356769,"TDRP/LTG, TDRP/ITEB, TDRP/IIB, TDRP/MEB, OD, OD/CGR"
"Sykes DAW, Waguia R, Abu-Bonsrah N, Price M, Dalton T, Sperber J, Owolo E, Hockenberry H, Bishop B, Kruchko C, Barnholtz-Sloan JS, Erickson M, Ostrom QT, Goodwin CR",,Associations between urbanicity and spinal cord astrocytoma management and outcomes.,Cancer Epidemiol,2023 Oct,2023 Jul 19,37478632,,TDRP
"Shala NK, Stenehjem JS, Babigumira R, Liu FC, Berge LAM, Silverman DT, Friesen MC, Rothman N, Lan Q, Hosgood HD, Samuelsen SO, Bråtveit M, Kirkeleit J, Andreassen BK, Veierød MB, Grimsrud TK",,Exposure to benzene and other hydrocarbons and risk of bladder cancer among male offshore petroleum workers.,Br J Cancer,2023 Sep,2023 Jul 18,37464024,PMC10449774,TDRP/OEEB
"Grant RRC, Moroz BE, Nilubol C, Cahoon EK, Pfeiffer RM, Nilubol N",,Parathyroidectomy and the Risk of Major Cerebrovascular and Cardiovascular Events in the Elderly.,Ann Surg,2023 Dec 1,2023 Jul 17,37450696,PMC10792119,"TDRP/BB, TDRP/REB"
"Joshi AD, Rahnavard A, Kachroo P, Mendez KM, Lawrence W, Julián-Serrano S, Hua X, Fuller H, Sinnott-Armstrong N, Tabung FK, Shutta KH, Raffield LM, Darst BF, COMETS Early Career Scientist Working Group",,An epidemiological introduction to human metabolomic investigations.,Trends Endocrinol Metab,2023 Sep,2023 Jul 17,37468430,PMC10527234,TDRP/MEB
"Sanikini H, Biessy C, Rinaldi S, Navionis AS, Gicquiau A, Keski-Rahkonen P, Kiss A, Weinstein SJ, Albanes D, Agudo A, Jenab M, Riboli E, Gunter MJ, Murphy G, Cross AJ",,Circulating hormones and risk of gastric cancer by subsite in three cohort studies.,Gastric Cancer,2023 Nov,2023 Jul 16,37455285,PMC10640529,TDRP/MEB
"Mahmood K, Thomas M, Qu C, Gecco-Ccfr Consortium, Hsu L, Buchanan DD, Peters U",,Elucidating the Risk of Colorectal Cancer for Variants in Hereditary Colorectal Cancer Genes.,Gastroenterology,2023 Oct,2023 Jul 14,37453563,PMC10866455,"TDRP/OEEB, TDRP/MEB, TDRP"
"Cohen CM, Clarke MA",,Anal Cancer and Anal Cancer Screening.,Clin Obstet Gynecol,2023 Sep 1,2023 Jul 13,37439541,PMC10524277,TDRP/CGB
Kitahara CM,,Rosalind Franklin Society Proudly Announces the 2022 Award Recipient for <i>Thyroid</i>.,Thyroid,2023 Jul 13,,,,TDRP/REB
"Lopez-Ampuero C, Hansen N, Alvarez Larraondo M, Taipe-Quico R, Cerna-Ayala J, Desai K, Egemen D, Schiffman M, Jeronimo J",,Squamocolumnar junction visibility among cervical cancer screening population in Peru might influence upper age for screening programs.,Prev Med,2023 Sep,2023 Jul 13,37451555,,TDRP/CGB
"Ma X, Fisher JA, VoPham T, Vasiliou V, Jones RR",,"Associations between per- and polyfluoroalkyl substances, liver function, and daily alcohol consumption in a sample of U.S. adults.",Environ Res,2023 Oct 15,2023 Jul 13,37451576,PMC10948014,TDRP/OEEB
"Ghasemi-Kebria F, Jafari-Delouie N, Semnani S, Fazel A, Etemadi A, Norouzi A, Khandoozi R, Besharat S, Shokouhifar N, Mirkarimi H, Sedaghat S, Mansoury M, Mehrjerdian M, Weiderpass E, Roshandel G, Bray F, Malekzadeh R",,"Colorectal cancer incidence trends in Golestan, Iran: An age-period-cohort analysis 2004-2018.",Cancer Epidemiol,2023 Oct,2023 Jul 11,37442047,,TDRP/MEB
"Alban TJ, Grabowski MM, Otvos B, Bayik D, Wang W, Zalavadia A, Makarov V, Troike K, McGraw M, Rabljenovic A, Lauko A, Neumann C, Roversi G, Waite KA, Cioffi G, Patil N, Tran TT, McCortney K, Steffens A, Diaz CM, Brown JM, Egan KM, Horbinski CM, Barnholtz-Sloan JS, Rajappa P, Vogelbaum MA, Bucala R, Chan TA, Ahluwalia MS, Lathia JD",,The MIF promoter SNP rs755622 is associated with immune activation in glioblastoma.,JCI Insight,2023 Jul 10,2023 Jul 10,37252795,PMC10371339,TDRP
"Friesen MC, Beane Freeman LE",,Identifying occupational risk factors for cancer in women: a need for further action.,Occup Environ Med,2023 Sep,2023 Jul 10,37429726,,TDRP/OEEB
"Dunietz GL, Shedden K, Michels KA, Chervin RD, Lyu X, Freeman JR, Baylin A, O'Brien LM, Wactawski-Wende J, Schisterman EF, Mumford SL",,Variability in Sleep Duration and Biomarkers of Cardiovascular Disease Across the Menstrual Cycle.,Am J Epidemiol,2023 Jul 7,,36928293,PMC10505415,TDRP/MEB
"Kim J, Leon ME, Schinasi LH, Baldi I, Lebailly P, Freeman LEB, Nordby KC, Ferro G, Monnereau A, Brouwer M, Kjaerheim K, Hofmann JN, Straif K, Kromhout H, Schüz J, Togawa K",,Exposure to pesticides and risk of Hodgkin lymphoma in an international consortium of agricultural cohorts (AGRICOH).,Cancer Causes Control,2023 Nov,2023 Jul 7,37418114,PMC10533587,TDRP/OEEB
"Befano B, Campos NG, Egemen D, Herrero R, Schiffman M, Porras C, Lowy DR, Rodriguez AC, Schiller JT, Ocampo R, Hildesheim A, Sampson JN, Das S, Kreimer AR, Cheung LC, Costa Rica HPV Vaccine Trial (CVT) Group",,Estimating human papillomavirus vaccine efficacy from a single-arm trial: proof-of-principle in the Costa Rica Vaccine Trial.,J Natl Cancer Inst,2023 Jul 6,,37040086,PMC10323899,"TDRP/MEB, TDRP, TDRP/CGB, TDRP/BB, TDRP/IIB"
"Burstyn I, Sarazin P, Luta G, Friesen MC, Kincl L, Lavoué J",,Prerequisite for Imputing Non-detects among Airborne Samples in OSHA's IMIS Databank: Prediction of Sample's Volume.,Ann Work Expo Health,2023 Jul 6,,36975192,PMC10324645,TDRP/OEEB
"Gutiérrez-Torres DS, Brochier M, Stern D, Cortés-Valencia A, Hernández-Ávila JE, Morales-Carmona E, Barrientos-Gutierrez T, Inoue-Choi M, Lajous M, Freedman ND",,Low-intensity daily smoking and mortality risk among Mexican women.,Tob Control,2023 Jul 6,2023 Jul 6,37414526,PMC10770292,TDRP/MEB
"Haque AT, Berrington de González A, Chen Y, Haozous EA, Inoue-Choi M, Lawrence WR, McGee-Avila JK, Nápoles AM, Pérez-Stable EJ, Taparra K, Vo JB, Freedman ND, Shiels MS",,"Cancer mortality rates by racial and ethnic groups in the United States, 2018-2020.",J Natl Cancer Inst,2023 Jul 6,,37074947,PMC10323905,"TDRP/REB, TDRP/MEB, TDRP/IIB"
"Russ DE, Josse P, Remen T, Hofmann JN, Purdue MP, Siemiatycki J, Silverman DT, Zhang Y, Lavoué J, Friesen MC",,Evaluation of the updated SOCcer v2 algorithm for coding free-text job descriptions in three epidemiologic studies.,Ann Work Expo Health,2023 Jul 6,,37071789,PMC10324641,"TDRP/MEB, TDRP/OEEB, TDRP"
"Smoll NR, Brady Z, Scurrah KJ, Lee C, Berrington de González A, Mathews JD",,Computed tomography scan radiation and brain cancer incidence.,Neuro Oncol,2023 Jul 6,,36638155,PMC10326490,TDRP/REB
"Stundon JL, Ijaz H, Gaonkar KS, Kaufman RS, Jin R, Karras A, Vaksman Z, Kim J, Corbett RJ, Lueder MR, Miller DP, Guo Y, Santi M, Li M, Lopez G, Storm PB, Resnick AC, Waanders AJ, MacFarland SP, Stewart DR, Diskin SJ, Rokita JL, Cole KA",,Alternative lengthening of telomeres (ALT) in pediatric high-grade gliomas can occur without ATRX mutation and is enriched in patients with pathogenic germline mismatch repair (MMR) variants.,Neuro Oncol,2023 Jul 6,,36541551,PMC10326481,TDRP/CGB
"Clarke MA, Wentzensen N",,"Response to comments on: ""A systematic review and meta-analysis of cytology and HPV-related biomarkers for anal cancer screening among different risk groups"".",Int J Cancer,2023 Oct 1,2023 Jul 4,37401760,,TDRP/CGB
"Sadeghi H, Lynch CF, Field WR, Snetselaar LG, Jones MP, Sinha R, Torner JC",,Dietary omega-6/omega-3 fatty acids and risk of prostate cancer; Is there any potential interaction by organophosphate insecticides among the agricultural health study population.,Cancer Epidemiol,2023 Aug,2023 Jul 4,37413804,PMC10528409,TDRP/MEB
"Morra A, Schreurs MAC, Andrulis IL, Anton-Culver H, Augustinsson A, Beckmann MW, Behrens S, Bojesen SE, Bolla MK, Brauch H, Broeks A, Buys SS, Camp NJ, Castelao JE, Cessna MH, Chang-Claude J, Chung WK, NBCS Collaborators, Colonna SV, Couch FJ, Cox A, Cross SS, Czene K, Daly MB, Dennis J, Devilee P, Dörk T, Dunning AM, Dwek M, Easton DF, Eccles DM, Eriksson M, Evans DG, Fasching PA, Fehm TN, Figueroa JD, Flyger H, Gabrielson M, Gago-Dominguez M, García-Closas M, García-Sáenz JA, Genkinger J, Grassmann F, Gündert M, Hahnen E, Haiman CA, Hamann U, Harrington PA, Hartikainen JM, Hoppe R, Hopper JL, Houlston RS, Howell A, ABCTB Investigators, kConFab Investigators, Jakubowska A, Janni W, Jernström H, John EM, Johnson N, Jones ME, Kristensen VN, Kurian AW, Lambrechts D, Le Marchand L, Lindblom A, Lubi_ski J, Lux MP, Mannermaa A, Mavroudis D, Mulligan AM, Muranen TA, Nevanlinna H, Nevelsteen I, Neven P, Newman WG, Obi N, Offit K, Olshan AF, Park-Simon TW, Patel AV, Peterlongo P, Phillips KA, Plaseska-Karanfilska D, Polley EC, Presneau N, Pylkäs K, Rack B, Radice P, Rashid MU, Rhenius V, Robson M, Romero A, Saloustros E, Sawyer EJ, Schmutzler RK, Schuetze S, Scott C, Shah M, Smichkoska S, Southey MC, Tapper WJ, Teras LR, Tollenaar RAEM, Tomczyk K, Tomlinson I, Troester MA, Vachon CM, van Veen EM, Wang Q, Wendt C, Wildiers H, Winqvist R, Ziogas A, Hall P, Pharoah PDP, Adank MA, Hollestelle A, Schmidt MK, Hooning MJ",,"Association of the CHEK2 c.1100delC variant, radiotherapy, and systemic treatment with contralateral breast cancer risk and breast cancer-specific survival.",Cancer Med,2023 Aug,2023 Jul 3,37401034,PMC10469654,"TDRP/OEEB, TDRP/ITEB, TDRP"
"Vallance JK, Friedenreich CM, Wang Q, Matthews CE, Yang L, McNeely ML, Culos-Reed SN, Bell GJ, McNeil J, Dickau L, Courneya KS",,"Depression, happiness, and satisfaction with life in women newly diagnosed with breast cancer: Associations with device-measured physical activity and sedentary time.",Psychooncology,2023 Aug,2023 Jul 3,37395625,,TDRP/MEB
"Lee ER, Park S, Lee SK, Hong HG",,Quantile forward regression for high-dimensional survival data.,Lifetime Data Anal,2023 Oct,2023 Jul 2,37393569,,TDRP/BB
"Fu S, Purdue MP, Zhang H, Qin J, Song L, Berndt SI, Yu K",,Improve the model of disease subtype heterogeneity by leveraging external summary data.,PLoS Comput Biol,2023 Jul,2023 Jul 12,37437002,PMC10337985,"TDRP/OEEB, TDRP/BB"
"Morton LM, Curtis RE, Linet MS, Schonfeld SJ, Advani PG, Dalal NH, Sasse EC, Dores GM",,"Trends in risk for therapy-related myelodysplastic syndrome/acute myeloid leukemia after initial chemo/immunotherapy for common and rare lymphoid neoplasms, 2000-2018.",EClinicalMedicine,2023 Jul,2023 Jul 5,37457112,PMC10344829,TDRP/REB
"Purdue MP, Rhee J, Denic-Roberts H, McGlynn KA, Byrne C, Sampson J, Botelho JC, Calafat AM, Rusiecki J",,A Nested Case-Control Study of Serum Per- and Polyfluoroalkyl Substances and Testicular Germ Cell Tumors among U.S. Air Force Servicemen.,Environ Health Perspect,2023 Jul,2023 Jul 17,37458713,PMC10351502,"TDRP/OEEB, TDRP/MEB, TDRP/BB"
"Stabellini N, Dmukauskas M, Bittencourt MS, Cullen J, Barda AJ, Moore JX, Dent S, Abdel-Qadir H, Kawatkar AA, Pandey A, Shanahan J, Barnholtz-Sloan JS, Waite KA, Montero AJ, Guha A",,Social Determinants of Health and Racial Disparities in Cardiac Events in Breast Cancer.,J Natl Compr Canc Netw,2023 Jul,,37433439,,TDRP
"Stabellini N, Nazha A, Agrawal N, Huhn M, Shanahan J, Hamerschlak N, Waite K, Barnholtz-Sloan JS, Montero AJ",,Thirty-Day Unplanned Hospital Readmissions in Patients With Cancer and the Impact of Social Determinants of Health: A Machine Learning Approach.,JCO Clin Cancer Inform,2023 Jul,,37463363,PMC10569782,TDRP
"Utada M, Brenner AV, Preston DL, Yamada M, Grant EJ, Sugiyama H, Sakata R, Cahoon EK, Ozasa K, Mabuchic K",,The Effect of Prostate-Specific Antigen (PSA) Test on Radiation Risk Estimate for Prostate Cancer Incidence among Atomic-Bomb Survivors.,Radiat Res,2023 Jul 1,,37141253,,TDRP/REB
"Wang JZ, Patil V, Liu J, Dogan H, Tabatabai G, Yefet LS, Behling F, Hoffman E, Bunda S, Yakubov R, Kaloti R, Brandner S, Gao A, Cohen-Gadol A, Barnholtz-Sloan J, Skardelly M, Tatagiba M, Raleigh DR, Sahm F, Boutros PC, Aldape K, International Consortium on Meningiomas (ICOM), Nassiri F, Zadeh G",,Correction: Increased mRNA expression of CDKN2A is a transcriptomic marker of clinically aggressive meningiomas.,Acta Neuropathol,2023 Jul,,37171636,PMC10261159,TDRP
"Brown J, Pfeiffer RM, Shrewsbury D, O'Callaghan S, Berner AM, Gadalla SM, Shiels MS, Jackson SS",,Prevalence of cancer risk factors among transgender and gender diverse individuals: a cross-sectional analysis using UK primary care data.,Br J Gen Pract,2023 Jul,2023 Jun 29,37365010,PMC10325612,"TDRP/IIB, TDRP/BB, TDRP/CGB"
"Katki HA, Berndt SI, Machiela MJ, Stewart DR, Garcia-Closas M, Kim J, Shi J, Yu K, Rothman N",,Increase in power by obtaining 10 or more controls per case when type-1 error is small in large-scale association studies.,BMC Med Res Methodol,2023 Jun 29,2023 Jun 29,37386403,PMC10308790,"TDRP/OEEB, TDRP/ITEB, TDRP, TDRP/CGB, TDRP/BB"
"Oliver S, Morato S, Juste B, Miro R, Verdu G, Tejedor N, Perez-Calatayud J",,MLEM Neutron Spectra Unfolding in a Radiotherapy Bunker Using Bonner Sphere Spectrometer,Nucl Sci Eng,2023 Jun 30,2023 Jun 28,,,TDRP/REB
"Baker FS, Wang J, Florez-Vargas O, Brand NR, Ogwang MD, Kerchan P, Reynolds SJ, Tenge CN, Were PA, Kuremu RT, Wekesa WN, Masalu N, Kawira E, Kinyera T, Otim I, Legason ID, Nabalende H, Chagaluka G, Mutalima N, Borgstein E, Liomba GN, Kamiza S, Mkandawire N, Mitambo C, Molyneux EM, Newton R, Prokunina-Olsson L, Mbulaiteye SM",,<i>IFNL4</i> Genotypes and Risk of Childhood Burkitt Lymphoma in East Africa.,J Interferon Cytokine Res,2023 Sep,2023 Jun 27,37366802,PMC10623078,"TDRP/LTG, TDRP/IIB"
"Park S, Lee ER, Hong HG",,Varying-coefficients for regional quantile via KNN-based LASSO with applications to health outcome study.,Stat Med,2023 Sep 30,2023 Jun 27,37365909,PMC11370892,TDRP/BB
"Yoshida N, Fujihara M, Preston DL, Ozasa K, Hida A, Ohishi W, Sakata R, Mabuchi K",,"Further analysis of incidence of multiple myeloma among atomic-bomb survivors, 1950 to 1994.",Blood Adv,2023 Jun 27,,36763540,PMC10279540,TDRP/REB
"Dimou N, Kim AE, Flanagan O, Murphy N, Diez-Obrero V, Shcherbina A, Aglago EK, Bouras E, Campbell PT, Casey G, Gallinger S, Gruber SB, Jenkins MA, Lin Y, Moreno V, Ruiz-Narvaez E, Stern MC, Tian Y, Tsilidis KK, Arndt V, Barry EL, Baurley JW, Berndt SI, Bézieau S, Bien SA, Bishop DT, Brenner H, Budiarto A, Carreras-Torres R, Cenggoro TW, Chan AT, Chang-Claude J, Chanock SJ, Chen X, Conti DV, Dampier CH, Devall M, Drew DA, Figueiredo JC, Giles GG, Gsur A, Harrison TA, Hidaka A, Hoffmeister M, Huyghe JR, Jordahl K, Kawaguchi E, Keku TO, Larsson SC, Le Marchand L, Lewinger JP, Li L, Mahesworo B, Morrison J, Newcomb PA, Newton CC, Obon-Santacana M, Ose J, Pai RK, Palmer JR, Papadimitriou N, Pardamean B, Peoples AR, Pharoah PDP, Platz EA, Potter JD, Rennert G, Scacheri PC, Schoen RE, Su YR, Tangen CM, Thibodeau SN, Thomas DC, Ulrich CM, Um CY, van Duijnhoven FJB, Visvanathan K, Vodicka P, Vodickova L, White E, Wolk A, Woods MO, Qu C, Kundaje A, Hsu L, Gauderman WJ, Gunter MJ, Peters U",,Probing the diabetes and colorectal cancer relationship using gene - environment interaction analyses.,Br J Cancer,2023 Aug,2023 Jun 26,37365285,PMC10403521,"OD, TDRP/MEB, OD/LGS, TDRP/OEEB"
"Lau B, Tominez P, Shing JZ, Vo JB, Pollom E, Taparra K",,"Racial Disparities among Asian American, Native Hawaiian, and Other Pacific Islander Patients with Cancer Who Refuse Recommended Radiation Therapy or Surgery.",Cancers (Basel),2023 Jun 26,2023 Jun 26,37444468,PMC10340289,"TDRP/REB, TDRP/IIB"
"Raj HA, Lai TP, Niewisch MR, Giri N, Wang Y, Spellman SR, Aviv A, Gadalla SM, Savage SA",,The distribution and accumulation of the shortest telomeres in telomere biology disorders.,Br J Haematol,2023 Dec,2023 Jun 24,37354000,PMC10748793,"OD, TDRP/CGB"
"Figlioli G, Billaud A, Wang Q, Bolla MK, Dennis J, Lush M, Kvist A, Adank MA, Ahearn TU, Antonenkova NN, Auvinen P, Behrens S, Bermisheva M, Bogdanova NV, Bojesen SE, Bonanni B, Brüning T, Camp NJ, Campbell A, Castelao JE, Cessna MH, Nbcs Collaborators, Czene K, Devilee P, Dörk T, Eriksson M, Fasching PA, Flyger H, Gabrielson M, Gago-Dominguez M, García-Closas M, Glendon G, Gómez Garcia EB, González-Neira A, Grassmann F, Guénel P, Hahnen E, Hamann U, Hillemanns P, Hooning MJ, Hoppe R, Howell A, Humphreys K, kConFab Investigators, Jakubowska A, Khusnutdinova EK, Kristensen VN, Lindblom A, Loizidou MA, Lubi_ski J, Mannermaa A, Maurer T, Mavroudis D, Newman WG, Obi N, Panayiotidis MI, Radice P, Rashid MU, Rhenius V, Ruebner M, Saloustros E, Sawyer EJ, Schmidt MK, Schmutzler RK, Shah M, Southey MC, Tomlinson I, Truong T, van Veen EM, Wendt C, Yang XR, Michailidou K, Dunning AM, Pharoah PDP, Easton DF, Andrulis IL, Evans DG, Hollestelle A, Chang-Claude J, Milne RL, Peterlongo P",,"Spectrum and Frequency of Germline <i>FANCM</i> Protein-Truncating Variants in 44,803 European Female Breast Cancer Cases.",Cancers (Basel),2023 Jun 23,2023 Jun 23,37444426,PMC10340689,"TDRP/ITEB, TDRP"
"Lim J, Hong HG, Weinstein SJ, Playdon MC, Cross AJ, Stolzenberg-Solomon R, Freedman ND, Huang J, Albanes D",,"Metabolomic Analysis of Vitamin E Supplement Use in the Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial.",Nutrients,2023 Jun 22,2023 Jun 22,37447163,PMC10343751,"TDRP/MEB, TDRP/BB"
"Miller DT, Lee K, Abul-Husn NS, Amendola LM, Brothers K, Chung WK, Gollob MH, Gordon AS, Harrison SM, Hershberger RE, Klein TE, Richards CS, Stewart DR, Martin CL, ACMG Secondary Findings Working Group. Electronic address: documents@acmg.net",,ACMG SF v3.2 list for reporting of secondary findings in clinical exome and genome sequencing: A policy statement of the American College of Medical Genetics and Genomics (ACMG).,Genet Med,2023 Aug,2023 Jun 22,37347242,PMC10524344,TDRP/CGB
"O'Brien TR, Lee MH, Wilson E, Kottilil S",,<i>IFNL4</i> Genotype Frequencies in Asian Populations Support Shorter Duration Therapy with Sofosbuvir-Based Hepatitis C Virus Regimens to Increase the Number Cured.,J Interferon Cytokine Res,2023 Sep,2023 Jun 22,37347978,PMC10517314,TDRP/IIB
"Wang TM, Xiao RW, He YQ, Zhang WL, Diao H, Tang M, Mai ZM, Xue WQ, Yang DW, Deng CM, Liao Y, Zhou T, Li DH, Wu YX, Chen XY, Zhang J, Li XZ, Zhang PF, Zheng XH, Zhang SD, Hu YZ, Cai Y, Zheng Y, Zhang Z, Zhou Y, Jin G, Bei J, Mai HQ, Sun Y, Ma J, Hu Z, Liu J, Lung ML, Adami HO, Ye W, Lam TH, Shen H, Jia WH",,High-throughput identification of regulatory elements and functional assays to uncover susceptibility genes for nasopharyngeal carcinoma.,Am J Hum Genet,2023 Jul 6,2023 Jun 22,37352861,PMC10357478,"TDRP/REB, TDRP/BB"
"Kundrod KA, Barra M, Wilkinson A, Smith CA, Natoli ME, Chang MM, Coole JB, Santhanaraj A, Lorenzoni C, Mavume C, Atif H, Montealegre JR, Scheurer ME, Castle PE, Schmeler KM, Richards-Kortum RR",,An integrated isothermal nucleic acid amplification test to detect HPV16 and HPV18 DNA in resource-limited settings.,Sci Transl Med,2023 Jun 21,2023 Jun 21,37343083,PMC10566637,TDRP/CGB
"Wu Z, Pfeiffer RM, Byrd DA, Wan Y, Ansong D, Clegg-Lamptey JN, Wiafe-Addai B, Edusei L, Adjei E, Titiloye N, Dedey F, Aitpillah F, Oppong J, Vanderpuye V, Osei-Bonsu E, Dagnall CL, Jones K, Hutchinson A, Hicks BD, Ahearn TU, Knight R, Biritwum R, Yarney J, Wiafe S, Awuah B, Nyarko K, Garcia-Closas M, Sinha R, Figueroa JD, Brinton LA, Trabert B, Vogtmann E",,Associations of Circulating Estrogens and Estrogen Metabolites with Fecal and Oral Microbiome in Postmenopausal Women in the Ghana Breast Health Study.,Microbiol Spectr,2023 Aug 17,2023 Jun 21,37341612,PMC10433996,"OD, OD/CGR, TDRP, TDRP/BB, TDRP/ITEB, TDRP/MEB"
"Bredel M, Espinosa L, Kim H, Scholtens DM, McElroy JP, Rajbhandari R, Meng W, Kollmeyer TM, Malta TM, Quezada MA, Harsh GR, Lobo-Jarne T, Solé L, Merati A, Nagaraja S, Nair S, White JJ, Thudi NK, Fleming JL, Webb A, Natsume A, Ogawa S, Weber RG, Bertran J, Haque SJ, Hentschel B, Miller CR, Furnari FB, Chan TA, Grosu AL, Weller M, Barnholtz-Sloan JS, Monje M, Noushmehr H, Jenkins RB, Rogers CL, MacDonald DR, Pugh SL, Chakravarti A",,Haploinsufficiency of NFKBIA reshapes the epigenome antipodal to the IDH mutation and imparts disease fate in diffuse gliomas.,Cell Rep Med,2023 Jun 20,,37343523,PMC10314122,TDRP
"Long L, Zhao L, Petrick JL, Liao LM, Huang T, Hakim A, Yang W, Campbell PT, Giovannucci E, McGlynn KA, Zhang X",,"Daytime napping, nighttime sleeping duration, and risk of hepatocellular carcinoma and liver disease-related mortality.",JHEP Rep,2023 Oct,2023 Jun 19,37691690,PMC10482745,TDRP/MEB
"Blechter B, Cardenas A, Shi J, Wong JYY, Hu W, Rahman ML, Breeze C, Downward GS, Portengen L, Zhang Y, Ning B, Ji BT, Cawthon R, Li J, Yang K, Bozack A, Dean Hosgood H, Silverman DT, Huang Y, Rothman N, Vermeulen R, Lan Q",,"Household air pollution and epigenetic aging in Xuanwei, China.",Environ Int,2023 Aug,2023 Jun 17,37354880,,TDRP/OEEB
"Hoskins JW, Christensen TA, Amundadottir LT",,Master regulator activity QTL protocol to implicate regulatory pathways potentially mediating GWAS signals using eQTL data.,STAR Protoc,2023 Sep 15,2023 Jun 17,37330907,PMC10285694,TDRP/LTG
"Pasqual E, O'Brien K, Rinaldi S, Sandler DP, Kitahara CM",,"Obesity, obesity-related metabolic conditions, and risk of thyroid cancer in women: results from a prospective cohort study (Sister Study).",Lancet Reg Health Am,2023 Jul,2023 Jun 14,37346380,PMC10279535,TDRP/REB
"Zhang T, Naudin S, Hong HG, Albanes D, Männistö S, Weinstein SJ, Moore SC, Stolzenberg-Solomon RZ",,Dietary Quality and Circulating Lipidomic Profiles in 2 Cohorts of Middle-Aged and Older Male Finnish Smokers and American Populations.,J Nutr,2023 Aug,2023 Jun 14,37328109,PMC10493471,"TDRP/MEB, TDRP/BB"
"Bates JE, Shrestha S, Liu Q, Smith SA, Mulrooney DA, Leisenring W, Gibson T, Robison LL, Chow EJ, Oeffinger KC, Armstrong GT, Constine LS, Hoppe BS, Lee C, Yasui Y, Howell RM",,Cardiac Substructure Radiation Dose and Risk of Late Cardiac Disease in Survivors of Childhood Cancer: A Report From the Childhood Cancer Survivor Study.,J Clin Oncol,2023 Aug 1,2023 Jun 12,37307512,PMC10419575,TDRP/REB
